Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев 
Смартфон Apple iPhone XR,Ksenia7706,"Россия, Ростов-на-Дону",-0,Хороший телефон,Большой экран,Задняя крышка если упадёт сразу лопнет,"Покупала за 49990, в мвидео, телефон шустрый не тупит, но за такие деньги можно и по лучше камеру. после 6 не удобно без кнопки. Задний бампер очень красивый, можно сказать, что из-за неё его и купила",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,ASYAASYA13,"Украина, Львов",+6,САМЫЙ ЛУЧШИЙ ТЕЛЕФОН,камера. стиль. видео. качество,нет,"купила себе на этой неделе этот телефон и уже точно могу сказать, что лучше него еще не видела. ",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,AlionaAll,"Россия, Челябинск",+55,Хороший телефон для своей цены,"Удобный, стильный дизайн, громкий и качественный звук","Много платного (музыка, приложения)",Всем доброго времени суток!,Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,iphone7plus,"Россия, Ульяновск",+1,Хороший безрамочный смартфон.,"Дизайн, Цена, Рейнтабельность, Актуальность, Аккумулятор, Хорошие Аксессуары.","Разве что со временем начинает барахлить аккумулятор, но","Iphone XR является неплохим вариантом для тех, кто любит стиль и богатство. Он хорошо сочетается в ценовом сегменте: цена-качество, а так же является одним из ведущих смартфонов компании Apple. Я считаю, что данный аппарат отлично подходит для тех, кто любит безрамочные экраны, и хорошую операционную систему, так как у Iphone она просто идеальна. Можно много расписывать о данном смартфоне, но ничего лучше я не скажу. Все на уровне.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Humanne,"Украина, Киев",-0,Очень хороший смартфон,"Батарея отлична, камера снимает просто супер,отличный звук,очень радует глаз своим внешним видом,приятный на ощупь.","За год пользования минусов я так и не увидела.Некоторые говорят что его минус - широкие рамки экрана,но мне это никак не мешает и привыкается очень быстро,так что не думаю что это минус.",Главный плюс - батарея. Бывает держит и по 2-3 дня.,Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,IgorChumak1,"Беларусь, Minsk",--73,Лучший смартфон который держал в руках!,"Камера, комплект, плавность, аккамулятор","Выпирает камера, зарядка которая идет в комплекте.","Всем привет! Купил две недели назад себе смартфон Apple Iphone XR черного цвета на 128 гигабайт памяти. Телефоном рад, до этого были Iphone 4S и Iphone 6 plus, но не очень понравились и перешел на бюджетные смартфоны потом и купив Iphone XR, я был в",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,МАКАР2706,"Россия, Краснодар",-0,Очень качественный девайс!,"скорость работы , лаконичность , удобство.","высокая цена ,нельзя скачать некоторые приложения .","Купил данный смартфон своему сыну на новый год. Он пользуется им уже 2 года и конечно за все это время он его ронял, но телефон оказался очень надежным и прочным. ",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Irinkakras,"Россия, Верхняя Пышма",+5,Мне понравился,Батарея,"Челка , но к ней быстро привыкаешь",Отличный телефон и хорошо держит зарядку. Купила его у официального представителя в Дубаи с хорошей скидкой. Кстати рекомендую если будете в Mall of the Emirates зайтиив Apple store и поторговаться. Если нашли цену ниже то и они вам сделают скидку. О телефоне : отличная батарея. Все характеристики десятого айфона.,Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Kama3eka,"Россия, Брянск",+1,Это супер гуд! Как в песне Шнура,Производительность и тактильное восприятие,"Очень хрупкое стекло, это первый айфон который я смог поцарапать!","Это лучшее предложение в премиум сегменте по соотношению цена-качество и лучший в мире, хотя бы потому, что матрица экрана ips, а не led, который так или иначе очень сильно влияет на состояние глаз и мозга.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Vladimirq1,"Украина, Львов",--38,Класно,"камера,процессор",батарея,"Телефон не большой, хорошо сидит в руке",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,KharlamovaP,"Россия, Москва",-0,Прекрасный функциональный телефон,Мощьности аккумулятора хватит надолго; Большее разнообразие цветов; Прекрасное качество фотографий,"Для кого то, широкие рамки будут минусом(но для меня этого не существенно)","Пользуюсь айфоном уже месяца 3 и меня все устраивает. Большой выбор цветов очень порадовал, камера передаёт цвета отлично(в сравнее с Apple IPhone X), фотографии получаются насыщенными и без засветов.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Kallenberg13,"Россия, Москва",-0,Шикарный смартфон,"Хорошая камера, многообразная цветовая палитра, долго держит заряд аккумулятора, не выключается на холоде, удобный в пользовании",Минусов нет,"Очень долго думал покупать данный аппарат или нет, но решил взять и не прогадал, один из лучших в своей категории, если не лучший, отличная камера, работает как по щелчку пальца, никаких микролагов, шикарная палитра цветов, самым важным наверное является то, что аккумулятор держится очень долго, спокойно хватает на весь день, даже если часто пользоваться, чего не замечал у других телефонов этой компании, подойдёт как молодому, так и старшему поколению. Оценка 10 из 10",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Sopernik,"Беларусь, Brest",--10,Приятное,"АКБ Камера, хоть и одноглазая Процессор",Почти за 3 месяца использования не нашёл ни одного минуса для себя.,"До этого телефона пользовался 6s. Очень радовали его размеры и удобность использования, да и функционала его хватало, даже камеры, в принципе. Но ужасная акб вымотала напрочь, и решился я заняться выбором телефона... ",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Nickjey,"Россия, Москва",-0,Самый лучший,"Долгая зарядка, качественный звук динамиков, отличная камера",Не особо нравится дизайн,"Очень нравится этот смартфон. Первый раз перешёл на Apple, не разочаровал. Отличная зарядка, на морозе не вырубается. Стоит своих денег.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Pilish,"Россия, Москва",-0,Очень хороший телефон,Этот телефон сплошной большой +,"Достаточно толстые рамки, но вообще они не очень мешают! Но многим они не нравятся, в том числе и я! Но спустя месяц привык и даже уже не обращаю на это внемание Ну и конечно цена не много завышена!","Уже как месяц пользуюсь Iphone Xr на 128gb, хочу сказать очень хорошой смартфон! Хорошая батарея! Достаточно медленнно разрежается!Face id работает отлично! В общем отличный телефон, всем рекомендую!)))",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Yuliu Pridvoreva,"Россия, Санкт-Петербург",-0,Шикарный гаджет,"Шикарное качество звука. Камера сделана на 5 с плюсом. Имеет функцию заряда от беспроводной зарядки. Прекрасно спрягается со всеми гаджетами , а это : наушники , часы и тд.",Минусов как таковых пока не выявила. Со временем мне кажется и не найду. Он идеален !,Телефон поразил своей работой. ,Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,davidmykhailiyk,"Украина, Киев",-0,Телефон просто бомба!,"Работает очень шустро , камера , дисплек , качество сборки !",Минусов нету!,Отличный телефон за свои деньги ! Качество сборки на высшем уровне!!!,Отзыв рекомендуют:0,1
Смартфон Apple iPhone XR,Fedoska,"Россия, Шилово",+3,Довольный клиент,"Данное мной описание выше описывает все плюсы модели. Хочу сказать, что это хорошая замена iPhone 11","Не обнаружено вообще, так как довольна работой данной фирмы и моделью.","Пользуюсь данной моделью на протяжении 7 месяцев, очень довольна. Отличная камера, делает качественные снимки при дневном освещении, так и со вспышкой ночью! Красивый дизайн. У меня лично в чёрном цвете",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Svetochka099,"Россия, Салехард",-0,"Меня все устраивает, очень удобен в эксплуатации, не мёрзнет на морозе","Удобнее без кнопочки, широкий дисплей, функции камеры класс, не мёрзнет на морозе, удобной использовать для кино, игр","Не привычно без кнопочки, тяжеловат, не удобно возвращаться в открытые приложения","Мне понравился этот смартфон, дисплей хороший, камера четкая, нравятся новые функции встроенный в камеру, съемка завораживает",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Soooowaa,"Россия, Нижний Новгород",-0,Очень простой и удобный в использовании,"Очень удобная система оплаты, а так же прекрасная камера.",Большой размер,"Очень приятный на внешний вид. Разнообразие цветов впечатляет. Выглядит очень эффектно. Работает просто прекрасно. Много различных функций, что очень удобно. Своих денег однозначно стоит.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Maxim everything,"Россия, Краснодар",-0,Отличный телефон,"Высокая автономность, отличная камера, хороший интерфейс",Выпирает камера,"Отличный телефон. Пользуюсь около двух месяцев и пока никаких замечаний нет. Только есть одно, он нагревается, если заряжать беспроводной зарядкой.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,AlbertAnismov,"Россия, Красноярск",--39,Не стоит своих денег.,"Отличная камера,качественный дисплей, удобный и хорошо лежит в руке.","Высокая цена, плохая батарея, тяжело найти хорошие наушники","Пользуюсь им уже больше года и досех пор жалею о покупке. Если вам нужна отличная камера в телефоне, то это ваш выбор, но если вам просто нужен качественный телефон, то не стоит брать его и просто переплачивать за бренд. Так же переплачивать 2-3 тыс. за наушники и зарядник, которые часто ломаются, я считаю не рациональным и глупым решением.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,15Bayarma,"Россия, Улан-Удэ",+10,Хорошая вещь,Очень удобный смартфон,Минусы отсутствуют,"Муж подарил телефон iPhone 10 XR, очень хороший, батарея супер, год как пользуюсь телефоном и батарея держится целый день, быстро думает, камера шикарная, в руках лежит удобно, зимой ни разу не отключился, как это имеет свойство все айфоны",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Svfedorov,"Россия, Москва",-0,Отличный товар за свою цену,Хорошее железо Шустрый Удобнее аналогичных моделей Цена,Не заметил,"Если тебе не нужен пафос с 3мя камерами, если ты не хочешь переплачивать в 2 раза за последнюю модель, этот телефон для тебя.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,kotopessss,"Россия, Ноябрьск",--27,Шикарный смартфон.,"Аккумулятор, камера, беспроводная зарядка и т.д",Нет бесплатной программы для прослушивания оффлайн музыки.,"Очень довольна покупкой. Важные для меня качества в телефоне - это камера, работа программ и батарея. В iPhone XR это все присутствует, быстрый и мощный телефон. Мой отзыв на все 5 звёзд.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Alisa02041991,"Россия, Пенза",+1,Хороший смартфон,"Экран, емкость батареи, камера",Чуть большеват размер,"Пользуюсь телефоном уже год, только сейчас решила написать отзыв) Во всем меня устраивает этот смартфон: ёмкость аккумулятора, качество изображения экрана, камера.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Dianakorzh,"Россия, Красноярск",+3,Действительно хороший телефон !,"+ отличная камера, долго держит батарею, удобен в работе, стоит своих денег, идеальный дизайн , удобно держать в руках(не огромный)","- если честно , я не нашла в нем минусов совсем , он идеален во всем, только немного мне не нравится в айфонах от 10 челка.","Очень долго задумывалась и перебирала разные варианты телефонов. Почти с самого начала я обладательница яблочка, меня очень заинтересовал дизайн нового телефона и ещё плюс разные яркие цвета. Когда купила данный телефон, работалась во всем, он оказался идеальным, очень комфортно работать. Камера отличная, передаёт все цвета, всю яркость. Очень долго на удивление держит батарею. Я уже два месяца им пользуюсь, а батарею держит идеально.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Katenaak,"Россия, Тверь",+3,Отличный телефон!,Большой экран,Нет,"Пользуюсь телефоном уже пол года и очень довольна! Удобный! Долго держит заряд батареи, ( заряжаю раз в 2 дня) хорошая Камера. Большой и яркий экран. Громкое звучание.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Amiral21,"Россия, Краснодар",-0,Все что нужно в большом экране,Большой экран Хорошее железо Неплохая камера Заряд батареи,Минусов нет,"Смартфон имеет возможность конкурировать с Galaxy S10, большой экран смартфона позволяет пользователю получить большое удовольствие от использования. Не могу и не отметить и ценовую составляющую, за свою, относительно небольшую сумму, телефон порадовал больше чем ожидал. Конечно, если рассматривать вариант покупки бюджетного смартфона, то именно этот смартфон то, что вам нужно.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Анна Журкина,"Россия, Новосибирск",-0,"Хороший телефон, не виснет","Не зависает, много выбора в расцветке.","Тяжёлый, но в принципе удобный.","Пользуюсь им месяца 4. Пока ничего не подвело, немного тяжёлый, но это не проблема. Взяла его из-за хорошей камеры, которая мне необходима. И цена более менее мне подходит, чем у 11 айфона. Экран большой и удобный, все кнопки хорошие, звук отличный. Куплю теперь своей дочке похожий. Ах, да и цвета у телефонов прекрасный. Взяла себе белый.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,arko12cska,"Россия, Иркутск",+2,"Вообщем, порадавал...","Память, хороший заряд батареи","Цена, тормозит","Эх, ну что можно сказать. Деньги потратил зря. Да, памяти у него очень много, заряд батареи держится долго, но он тормозит!!! Это вообще как?! Читал другие отзывы, это не только у меня. В предыдущих версиях такого не было. До этого у меня был 7 айфон, к нему вопросов совсем нет. Цена ну слишком большая. Я мог бы себе холодильник взять новый. Дешевле бы вышло. Теперь про камеру. Она наивысшего качества. Ещё никогда я не видел таких снимков на телефоне. Даже задумывался стать профессиональный фотографом. Внешний вид меня сводит с ума. Просто красота. В итоге хочу сказать, что оценка три только потому, что он тормозит. Я никак не ожидал, что это на айфоне будет. Даааа. Обидно...",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Angel1888,"Россия, Санкт-Петербург",-0,Доволен товаром,"Хорошая камера, быстрый процессор, хорошо держит зарядку, большой экран, постоянные обновления, популярно, четкий звук.","Большая цена, стеклянный корпус, дорогое обслуживание, выпирающая камера, трудный доступ к сим-карте, нет разъёма для флэш-карты, больше минусов я не вижу",Покупал смартфон год назад. Очень доволен покупкой. 128 Гб памяти не создаёт проблем. Самый оптимальный телефон для работы и игр. Сеть ловит идеально. Будет актуален ещё 5 лет. Советую всем.,Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Xingiax310,"Россия, Нижний Новгород",+1,Марка apple обожаемая многими людьми спасибо М Видео!,Качество обслуживания на высшем уровне.,Нет,"Качество обслуживания персонала, и товара на высшем уровне. Продавцы давольно не настойчивые, понравилось обслуживание. Брали телефон в рассрочку. Одобрение пришло буквально в несколько минут. Что очень порадовало. ",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Николай2059,Россия,-0,Телефон хороший. По моему мнению стоит своих денег.,"Камера, заряд, память, цена, количество цветов.",нет,"Пользуюсь почти 2 года. Был приобретен в основном для игр, СМС, телефона и соц. сети. 64гб. хватает, так-как больно много не фоткаю. У меня черный цвет, очень даже ничего. Можно подарить на ДР. Не зависает. Зарядки хватает на 1 день. Качество фото - отличное на 5+. Обрадовала и цена - 64 990. Но сейчас можно найти и за 40 000-45 000. А так же очень большой выбор цвета!",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,KrAsAvAkaha,"Россия, Астрахань",--16,Хороший смартфон,Камера,Цена,"Добрый день. Плюсы: - IPS, а не OLED и не AMOLED (мои глаза устают от них быстро). - Хорошая камера - Хорошая батарея - CarPlay - отличная вещь для авто, поддерживает 2GIS и Google карты. Минусы: - распаковал дома и увидел микро царапину в районе фронтальной камеры. Смартфон был запакован в родную упаковку, новый. Эта царапина на столько тонкая, что ее не ощущаешь ногтем и видно только под определенным углом. Ощущение, что это царапина на олеофобном покрытии. Странно, что ее не заметил контроль качества. Я не стал менять смартфон. Через месяц появились подобные две царапинки (ношу без стекла и пленки). При использовании не замечаю их. В целом доволен смартфоном, оценку не снижаю. Раньше был владельцем только Android устройств. Заменил Zenfone 2 свой.",Отзыв рекомендуют:0,1
Смартфон Apple iPhone XR,илья22335,"Россия, Краснодар",+1,хорошее,Цена и качество,из нет,"Телефон хороший. У меня желтого цвета. Нравится эта модель, хорошая камера, удобно держать в руке. Свою цену оправдал. Советую этот телефон.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,ДимаМТО,"Россия, Екатеринбург",-0,Очень хороший телефон,"Емкость аккумулятора, скорость работы",Все же как и вся техника apple это цена,"Пользуюсь данным телефоном уже на протяжении года, очень впечатляет емкость аккумулятора, хватает спокойно на целый день с учетом сёрфинга в интернете и игр. Если хотите камеру лучше, то покупайте другую модель. Меня данный аппарат полностью устраивает своей работоспособностью и выполнением задач. В общем 10 баллов из 10",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,berezkaaaa,"Россия, Магнитогорск",+29,Отличный телефон!,"Удобство,комфорт","будет грустно,если разобьется","Здравствуйте, сегодня я хочу оставить отзыв о телефоне iPhone XR.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Тофи,"Азербайджан, Baku",-0,IPhone XR лучше других смартфонов,Наличие новых функций делает его не повтаримым,Минусы бывает если загрузить очень много видео и фото. Нужна очищять чтоб не зависало.,Phone XR получаются самые лучшие снимки. Очень чёткие и конкретные фото получается. А видео прям как профессиональная камера снимает. Предплчитаю использовать только Apple,Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,TravelGreen,"Россия, Москва",+1,"Классный. Камера супер, скорость ооочень высокая)","Камера, скорость, цена.",Нет таких),"Одним словом, классный). У меня предыдущий вйфон Х. Казалось, совершеннее уже не будет. Но XR превзошёл все ожидания: легкий по весу, лёгкий в обращении, ещё более быстрый, чем предыдущие версии, Камера суперская, фотки как с зеркалки. Рекомендую однозначно))",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,s9312,"Украина, Одесса",-0,Рекомендую! Хороший девайс)),iOS; Автономность; Экосистема Apple.,Цена,IPhone XR 128Gb.,Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Alina952,"Украина, Северодонецк",-0,Отличный смартфон,Все нравится,Не нашла,"Я взяла этот смартфон 30 июля 2019 года, сейчас уже начало апреля 2020 года. За все время пользования этим смартфоном я ни на минуту не пожалела о потраченной сумме. Хорошая операционная система IOS, которая за все время моего пользования этого смартфона ни одного ""подвисания"". Все работает быстро, четко и без лагов. Приложений достаточно много бесплатных в Апсторе, хотя все говорят, что если Айфон, то там все платно - это не так. Камера отличная, памяти достаточно (у меня 64 Гб), экран яркий, даже при холоде батарея быстро не садится.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,katerinayanakova,"Россия, Звенигород",+24,отличный смартфон,"Объем памяти, оперативная система, система защиты, внешний вид, вес","цена высокая, задняя панель стеклянная","Отличный телефон, у меня красный, камера очень четкая, фотки получаются очень четкие как профессиональные, памяти много очень, все работает отлично не тупит, легкий. экран большой без рамок это очень удобно, зарядку держит очень долго, эта модель стеклянная сзади это минус хоть и очень красиво, без чехла не поносишь если вдруг упадет то разбить очень легко, ремонт стоит очень дорого. Цена телефона конечно дорогая, но он того стоит, довольна им очень. Оперативная система на высоте, не сравнится с остальными и безопасность на высшем уровне. В комплекте идут наушники проводные, провод для зарядки, вилка, и ключ для отделения где сим карта. Я советую",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Lexa9301,"Россия, Великий Новгород",+4,"CarPlay, IPS экран, батарея, камера","Дизайн, Камера, Функционал, Батарея самый большой плюс, Хорошая камера, громкий звук, Крутой телефон на каждый день все устраивает!","Face id пока не совершенен, Начал сильно нагреваться через месяц после покупки, Разрешение экрана, толстые рамки","Высокопроизводительный смартфон, с передовой оболочкой ios 13, качественная водонепроницаемая сборка и компактность, объемный и чистый звук, камера средняя, но с другими преимуществами смартфона это уходит на задний план, можно телефон причислить смело к золотой середине компании и смело покупать!",Отзыв рекомендуют:0,1
Смартфон Apple iPhone XR,DILLECAT,"Россия, Казань",--37,Отличный телефон,"Ну во первых это Apple, стиль, качество и просто приятное исполнение. Хороший звук, несмотря на то, что это вкладыши. Удобный кейс. Быстрое подключение и долгое время работы!",нет,"Приобрёл себе на день рождения, и остался полностью доволен. Наушнки оправдали ожидания. Отличный звук, удобство использования. Зарядки хватает надолго. Вот только я не понял, по дочтижении 100% заряда, наушники продолжают заряжаться от кейса, из-за чего заряд кейса медленно падает, пару процентов в день. НУ наверное так должно быть. В целом наушники понравились!",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Al625,"Россия, Пенза",+12,"Это лучший телефон, который когда-либо у меня был",Аккумулятор Защитное покрытие Камера Удобный интерфейс,Нет,"Я купила IPhone XR осенью 2019 года. Сказать, что я в восторге-не сказать ничего. До этого был IPhone 7+, он постоянно никуда не умещался. А вот IPhone XR это универсальный гаджет. Отлично держит зарядку, камера бомба. Режим «портрет» работает идеально. Ещё один плюс в том, что IPhone XR имеет очень сильное защитное покрытие - ни вода, ни пыль ему не страшны. Недавно снимали видео в бассейне, ничего не сломалось, ничего никуда не затекло, динамики просохли буквально через 10 минут. По поводу батареи: на день среднего пользования хватает идеально. Спустя пол года использования - 96%(состояние аккумулятора). В общем, всем советую, приобрести этот телефон!",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,0hermann0,"Россия, сургут",--9,"Очень мощный на рынке современных смартфонов,камера очень хорошая,экран высокого качества!","Бюджетный,самый лучший процессор,очень хорошая камера и дизайн хороший.","Закрытая ОС,за память приходится доплачивать много.","Мне данный смартфон понравился тем, что он стоит достаточно мало и за свою сумму очень хороший. одна камера заменяет 2 камеры в прошлых моделях, фейс айди работает шикарно, мощность процессора тянет все мои игры!",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Leona789,"Россия, Челябинск",-0,Супер аппарат,"Фото,аккумулятор , память",Цена,"Здравствуйте, хочу поделится своим мнение об Xr.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Ggdrop228,"Россия, Москва",-0,Отличный телефон,Хорошая Камера приятный корпус и тд,Практически нет,"Пользуюсь этим гаджетом уже 3 месяц, ничуть не пожалел 50000 рублей, он этого стоит если не знаете что брать, то я его рекомендую.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Tatyanaffq,"Россия, Москва",+1,Хорошое обновление старого телефона,Супер Камера Быстрый интерфейс,Аккумулятор. Но это проблема всех новых смартфонов,Сменила старый смартфон на данную модель. Выдирала между Xs и Xr. Выбор пал на это смартфон. Почему:Большая цветовая палитра внешней панели. более дешёвый вариант. По функциям отвечает практически как и xr,Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Diana-fril,"Россия, Москва",-0,"Очень понравился, особенно после apple 6","Хорошо держит батарею, удобный в использовании, входит в кошелёк, экран большой и удобный, много на него идёт чехлов, плёнок , стёкл","Приходится работать двумя руками, тяжеловат-но это из-за того, что большой экран, не всегда срабатывает фэйсди","За год работы не глючил, приятный в целом-как внешне, так и в работе. С чехлами проблемы тоже нет, на любой вкус и цвет",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Anonymxx,"Россия, Ростов-на-Дону",+3,Супер,"Большой экран, батарея и т.д.",Нет,"Привет дорогой читатель) хочу рассказать об Apple iPhone XR этом замечательном смартфоне, компании Apple. Долго думал купить или нет. Приходил брал в руки, и сравнивал! После iPhone 7ки iPhone XR довольно большой. И все таки решил взять) очень рад покупке этого смартфона, оказался очень удобным, хоть весьма габоритный, главный плюс это большой объём батареи, долго держит, постоянно сидя в интернете. процессор очень шустрый, не знаю почему многим он не нравится, меня вполне устроил. К габаритам привыкаешь очень быстро, вследствие чего думаешь что он не такой уж и большой. Я надеюсь многим поможет этот отзыв) так как сам сейчас покупаю многие вещи, после прочтения большого количества отзывов.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,NATALAPPOLONOVA,"Россия, Саратов",-0,"Потрясная игрушка,сочетающая в себе качество и превосходные функции",Аккумулятор на высоте Портретная съемка Отсутствует кнопка HOME,Минусов пока не увидела,iPhone XR ,Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,killereys,"Россия, Лермонтов",--50,Не плохой аппарат,Хорошо держит заряд батареи,"Нет 3d touch, габаритный","Покупал недавно за недорогие деньги, нравится абсолютно все. Если рядом нет 11 pro, X, XS, то на рамки абсолютно наплевать. Шустрый, в сравнении моего старого iPhone 6. Камера (пускай и одна но качество фото на высоте). Сейчас и цена вкусная, если кто-то выбирает между 11, и XR, разница только в камере, не более того. Процессор особо не отличается. У кого денег побольше (конечно это не я) конечно советую брать 11 айфон из-за ночного режима фото. То, что убрали 3D Touch. Многим он не нужен, но функция была иногда очень удобная. Замена на haptic touch спорное решение ну это хоть что-то чем ничего.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Zildik05,"Россия, Краснодар",-0,Супер пупер,Красивый большой мощный хорошая память,Нету,Смартфон просто супер. работает как зверь. я доволен. тянет любые игры снимает круто. много памяти мне больше всего именно это нравится. телефон просто бомба,Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Kraken17,"Россия, Москва",+20,Удобный и компактный,"Компактный, стильный, качественный.",нет,"Покупал данную модель 1.5 года назад, до этого пользовался смартфонами на базе Андройд, скажу честно, разница ощутимая и весьма, точно могу сказать, что не глючит, сама компания Aplle, зарекомендовала себя, как одного из сильных и мощных фирм, по производству гаджетов во всем мире, за что к ней и идет такое доверие, один раз потерял свой гаджет, к счастью функция найти, айфон помогла вернуть и найти свой телефон, что еще является главным плюсом, у этой серии XR, есть все что нужно, долгий заряд батареи, в отличии от предыдущих версии, режим портрета, не вижу смысла в ближайшем будущим, покупать более продвинутые версии, так как эта радует меня всем.",Отзыв рекомендуют:0,0
